"Intercept","kamar","rumah","dis_SD","dis_SMP","dis_SMA","y","yhat","residual","CV_Score","Stud_residual","Intercept_SE","kamar_SE","rumah_SE","dis_SD_SE","dis_SMP_SE","dis_SMA_SE","Intercept_TV","kamar_TV","rumah_TV","dis_SD_TV","dis_SMP_TV","dis_SMA_TV","Local_R2","X","Y"
254663147.388622,168237476.933988,7505822.76943126,183435094139.256,-118644618672.136,-70114926189.5381,5.25e+08,424728930.531229,100271069.468771,0,0.226204372610051,35350582.8613988,2994068.78548356,149911.654138944,6800712449.4439,6141928257.4682,3748261734.27897,7.20393065050995,56.1902511223758,50.0683073143503,26.9729231316427,-19.3171612722554,-18.7059845763481,0.857095511778168,110.49450865384,-7.00832084495975
248687107.765461,169293911.441243,7542863.88855524,191782931027.843,-122343936242.911,-72179883516.7981,3.5e+09,3798666741.95192,-298666741.951918,0,-0.674969977676552,35243672.4114741,2867805.47790508,150183.789919114,6627673767.81969,6172659412.40983,3455447626.69907,7.05622004602724,59.0325643582046,50.2242212199978,28.9366884590841,-19.8202959322435,-20.8887216113735,0.856615779121099,110.485185078095,-7.01442338972911
-449732349.197979,109900026.540503,13460828.3702424,133068747148.209,-139779590929.207,-4443179018.92822,3.2e+09,2988379176.79971,211620823.200293,0,0.477933829125216,38284802.6435183,3155426.76312368,251222.034097035,6302869205.49115,6326942607.57484,2343888539.41138,-11.7470201788834,34.8288947234853,53.5814002884918,21.1124081445761,-22.0927546840487,-1.89564432959087,0.927689685397617,110.316539082194,-7.05316944011098
-371803190.748854,113897312.126106,12352046.8869738,138119277970.93,-136299369846.348,1723524476.04773,6.47e+08,934411081.504912,-287411081.504912,0,-0.647490134011831,32630722.5374707,2376552.89217562,147498.669234699,5158779924.59144,5077813373.10562,3027381511.25181,-11.3942677892561,47.9254269917968,83.7434463040429,26.77363252356,-26.8421385016335,0.569311951480822,0.893138954575727,110.421432480282,-7.07703396519199
45472551.4458734,142423698.928073,10134601.6600559,198810177647.306,-139613594027.265,-55117614250.2659,810500000,662344987.081276,148155012.918724,0,0.3340886442281,36004594.1575936,2565194.69127436,147474.355700675,6303593745.85778,5933786303.70465,2765049001.70384,1.26296525512378,55.5215942916668,68.7211116258468,31.539179976176,-23.5285847655315,-19.9336844360812,0.855311805181166,110.455702004804,-7.03046006543141
47027107.137651,128640999.535481,10424009.9964691,167488797410.403,-150235930691.847,-30634026119.4479,1.833e+09,1506483268.26503,326516731.734969,0,0.735278372947683,31671319.4024103,2407276.05021376,142136.581724731,5346085191.9151,5398470262.08498,2275420306.70615,1.48484837464877,53.4384079150614,73.3379814681119,31.3292421272479,-27.8293522791071,-13.4630186911679,0.873980393336976,110.425218415237,-7.02940888700122
153473385.134707,145958474.416075,9036442.19195843,163827478931.667,-131648319234.22,-50290816353.4111,3.6e+09,3706203976.87572,-106203976.875724,0,-0.239539053302009,31523033.900242,2614653.45086793,140965.123545783,5586774472.16083,5371842708.48336,2420127152.39734,4.86861085834536,55.8232580947293,64.1040986923519,29.3241618662123,-24.5071061046366,-20.7802372299298,0.882501535628424,110.429657285821,-6.99787098902391
135818627.848155,155660876.651362,8711256.54611988,156367521100.768,-123669266149.49,-53070804729.0284,2.65e+09,2269335681.81825,380664318.181754,0,0.858664707262945,34601652.8961587,2697718.62961262,151385.240552534,5556835399.46891,5350897260.82878,2368414615.51724,3.92520635519215,57.7009310543682,57.5436318251703,28.1396712084926,-23.1118745364091,-22.4077340096291,0.88361742492285,110.420241858866,-6.97976466191121
235977923.554345,166557208.482969,7711885.7755313,164034952173.315,-115238464370.364,-69950068929.3191,1.1e+09,2001016872.16964,-901016872.169639,0,-2.02846275424173,33483398.9683926,2741082.35594257,144595.64214284,6319926624.19475,5977469136.3364,2945409057.07737,7.04760958638344,60.7632996220923,53.3341507478699,25.9551988381218,-19.278805417805,-23.7488469593857,0.830023470256731,110.468655037488,-6.99861792997107
28919474.1097345,159021805.412211,8839905.98745206,155546000397.951,-114105056877.486,-53009358160.2458,5.5e+08,970405749.364505,-420405749.364505,0,-0.948543725055864,36197680.138928,2744517.6952239,149889.869365489,5493001944.91993,5287364737.65392,2358605753.74055,0.79893169945534,57.9416214692098,58.9760070168385,28.3171209399996,-21.5807046684123,-22.4748701965886,0.883873712944821,110.414443675889,-6.96721677052939
