"judul","alamat","kamar","rumah","lahan","harga","lat","lng"
"Rumah cantik minimalis di jl merpati pedurungan semarang timur 9067","Pedurungan Tengah, Semarang",2,80,80,5.25e+08,-7.00832084495975,110.49450865384
"Rumah hook lt 408 di taman majapahit pedurungan semarang  6855","Pedurungan Lor, Semarang",3,408,408,3.5e+09,-7.01442338972911,110.485185078095
"Rumah cantik di Victoria Valley Citraland Bsb semarang 8637","Mijen, Semarang",3,240,240,3.2e+09,-7.05316944011098,110.316539082194
"Rumah MURAH 2LT di Banyumanik Selangkah Smk Grafika Semarang","Banyumanik, Semarang",3,84,84,6.47e+08,-7.07703396519199,110.421432480282
"DE VILLA TOWNHOUSE KEDUNGMUNDU SAMBIROTO TEMBALANG KETILENG SEMARANG","Kedungmundu, Semarang",3,65,65,810500000,-7.03046006543141,110.455702004804
"RUMAH 3 LANTAI CLUSTER DE VILLA TLAGA BODAS KAMPUS UNIKA AKPOL","Jatingaleh, Semarang",4,105,105,1.833e+09,-7.02940888700122,110.425218415237
"STRATEGIS MURAH RUMAH KOS MODERN SPESIAL RING 1 KAMPUS UNDIP SMG","Semarang Selatan, Semarang",10,219,219,3.6e+09,-6.99787098902391,110.429657285821
"STRATEGIS, RUMAH KOST MODERN NEMPEL FAKULTAS KEDOKTERAN  UNNES SMG","Semarang Tengah, Semarang",10,120,120,2.65e+09,-6.97976466191121,110.420241858866
"RUMAH FULL FURNISH PEDURUNGAN SEMARANG TIMUR","Pedurungan, Semarang",3,195,195,1.1e+09,-6.99861792997107,110.468655037488
"DIJUAL RUMAH MURAH MIJEN","Mijen, Semarang",2,120,120,5.5e+08,-6.96721677052939,110.414443675889
"DIJUAL RUMAH MURAH SENDANGMULYO KETILENG","Sendangmulyo, Semarang",2,60,60,3.6e+08,-6.6363153333093,111.548941597651
"DIJUAL RUMAH DBERINGIN HILLS WONOSARI NGALIYAN","Ngaliyan, Semarang",3,120,120,6.5e+08,-6.98787333168762,110.34416370045
"DIJUAL RUMAH GRAHA WANAMUKTI KEDUNG MUNDU","Tembalang, Semarang",2,77,77,4e+08,-7.06415285872909,110.325561720284
"STRATEGIS , LOKASI TERBAIK Kos Baru dekat UNDIP Semarang","Tembalang, Semarang",16,200,200,4.55e+09,-7.06436273319609,110.32436629057
"Dijual Kost Strategis 16 Kamar Dekat Pusat Kota Semarang","Gajahmungkur, Semarang",16,190,190,2.975e+09,-7.00859415063467,110.411781692885
"RUMAH SIAP HUNI SELANGKAH KE UNIMUS","Tembalang, Semarang",3,121,121,8.75e+08,-7.0204400404463,110.464770020217
"Dijual dibawah harga pasar rumah di pandanaran hills semarang","Tembalang, Semarang",3,84,84,1.03e+09,-7.06501582453129,110.325970388956
"Rumah Cantik Ready 2 Lantai Selangkah dari Jln Raya Grafika Banyumanik","Banyumanik, Semarang",3,102,102,9.95e+08,-7.07874588093294,110.421238914512
"Rumah cantik di beringin cluater","Beringin, Semarang",2,120,120,7.44e+08,-6.99654415856143,110.333634406877
"LOKASI PREMIUM, BEST UNIT Rumah Kos Dekat UNDIP SMG","Tembalang, Semarang",18,234,234,3.77e+09,-7.06359899270171,110.324579319986
"Cluster perumahan selangkah dari UNDIP, dekat berbagai fasilitas umum","Tembalang, Semarang",2,50,50,4.3e+08,-7.06985420086917,110.449622008841
