system:index,Kab_Kota,Provinsi,Status,Status Koo,nama_sekol,npsn,.geo
000000000000000002a7,Kab. Lebak,Prov. Banten,SMA,Benar,SMAN 1 WARUNGGUNUNG,20601873,"{""type"":""Point"",""coordinates"":[106.15879086341567,-6.33320771699654]}"
000000000000000002a8,Kab. Lebak,Prov. Banten,SMA,Benar,SMA DAAR EL- ROFA,70005193,"{""type"":""Point"",""coordinates"":[106.18934908293494,-6.350179055605954]}"
000000000000000002a9,Kab. Lebak,Prov. Banten,SMA,Benar,SMA NEGERI 2 MUNCANG,70011599,"{""type"":""Point"",""coordinates"":[106.27940062870928,-6.569700600467095]}"
000000000000000002aa,Kab. Lebak,Prov. Banten,SMA,Benar,SMAN 2 RANGKASBITUNG,20601872,"{""type"":""Point"",""coordinates"":[106.26480153186031,-6.3695003404705375]}"
000000000000000002ab,Kab. Lebak,Prov. Banten,SMA,Benar,SMAN 1 CIBADAK,20607980,"{""type"":""Point"",""coordinates"":[106.23149204699106,-6.325725345428858]}"
000000000000000002ac,Kab. Lebak,Prov. Banten,SMA,Benar,SMA LA TAHZAN RANGKASBITUNG,69990569,"{""type"":""Point"",""coordinates"":[106.30229811261873,-6.339401408359776]}"
000000000000000002ad,Kab. Lebak,Prov. Banten,SMA,Benar,SMAN 1 CIBEBER,20607866,"{""type"":""Point"",""coordinates"":[106.30804143477557,-6.854311643405386]}"
000000000000000002ae,Kab. Lebak,Prov. Banten,SMA,Benar,SMAS TERPADU DARUSSAADAH CIMARGA,20607995,"{""type"":""Point"",""coordinates"":[106.2346981406485,-6.417498104209827]}"
000000000000000002af,Kab. Lebak,Prov. Banten,SMA,Benar,SMAN 2 BAYAH,69816866,"{""type"":""Point"",""coordinates"":[106.31760174743417,-6.937201872887892]}"
000000000000000002b0,Kab. Lebak,Prov. Banten,SMA,Benar,SMAN 1 CIHARA,69816881,"{""type"":""Point"",""coordinates"":[106.0926980676015,-6.863198631804902]}"
000000000000000002b1,Kab. Lebak,Prov. Banten,SMA,Benar,SMAS PGRI RANGKASBITUNG,20607821,"{""type"":""Point"",""coordinates"":[106.2586524315076,-6.354705043175201]}"
000000000000000002b2,Kab. Lebak,Prov. Banten,SMA,Benar,SMAN 2 CIBEBER,20616229,"{""type"":""Point"",""coordinates"":[106.33660197702288,-6.699299913484445]}"
000000000000000002b3,Kab. Lebak,Prov. Banten,SMA,Benar,SMAN 1 SOBANG,20614150,"{""type"":""Point"",""coordinates"":[106.30659222693319,-6.657130194822009]}"
000000000000000002b4,Kab. Lebak,Prov. Banten,SMA,Benar,SMAN 1 GUNUNG KENCANA,20601878,"{""type"":""Point"",""coordinates"":[106.06139963730737,-6.584901675958293]}"
000000000000000002b5,Kab. Lebak,Prov. Banten,SMA,Benar,SMAN 1 CILELES,20607819,"{""type"":""Point"",""coordinates"":[106.05800180230466,-6.439900627902339]}"
000000000000000002b6,Kab. Lebak,Prov. Banten,SMA,Benar,SMAN 1 CURUGBITUNG,20613913,"{""type"":""Point"",""coordinates"":[106.40899994172663,-6.446500097461439]}"
000000000000000002b7,Kab. Lebak,Prov. Banten,SMA,Benar,SMAN 1 CIMARGA,20601880,"{""type"":""Point"",""coordinates"":[106.22149920153028,-6.4383979108473275]}"
000000000000000002b8,Kab. Lebak,Prov. Banten,SMA,Benar,SMAS DAAR EL AZHAR RANGKASBITUNG,20613474,"{""type"":""Point"",""coordinates"":[106.25859000409285,-6.35717538515881]}"
000000000000000002b9,Kab. Lebak,Prov. Banten,SMA,Benar,SMAN 1 CIGEMBLONG,20623096,"{""type"":""Point"",""coordinates"":[106.16460107208832,-6.741202086083677]}"
000000000000000002ba,Kab. Lebak,Prov. Banten,SMA,Benar,SMAN 1 CILOGRANG,20607867,"{""type"":""Point"",""coordinates"":[106.36889924595299,-6.929799765139172]}"
000000000000000002bb,Kab. Lebak,Prov. Banten,SMA,Benar,SMAN 1 LEUWIDAMAR,20601877,"{""type"":""Point"",""coordinates"":[106.1960020617067,-6.513498090789462]}"
000000000000000002bc,Kab. Lebak,Prov. Banten,SMA,Benar,SMAS AL MUBASYIRIN SAJIRA,20607986,"{""type"":""Point"",""coordinates"":[106.35759988388357,-6.499001553264711]}"
000000000000000002bd,Kab. Lebak,Prov. Banten,SMA,Benar,SMAS AL HIDAYAH RANGKASBITUNG,20607906,"{""type"":""Point"",""coordinates"":[106.24300098681,-6.345198239729256]}"
000000000000000002be,Kab. Lebak,Prov. Banten,SMA,Benar,SMA MUTIARA BANGSA  7,70036735,"{""type"":""Point"",""coordinates"":[106.37669821369548,-6.349701931793236]}"
000000000000000002bf,Kab. Lebak,Prov. Banten,SMA,Benar,SMAS DAAR EL KARIM MALINGPING,20613647,"{""type"":""Point"",""coordinates"":[106.04250196704288,-6.816101606478409]}"
000000000000000002c0,Kab. Lebak,Prov. Banten,SMA,Benar,SMAN 2 MALINGPING,69945798,"{""type"":""Point"",""coordinates"":[105.98790027464342,-6.744301161315822]}"
000000000000000002c1,Kab. Lebak,Prov. Banten,SMA,Benar,SMAN 1 WANASALAM,20607854,"{""type"":""Point"",""coordinates"":[105.9425021668183,-6.799901692351239]}"
000000000000000002c2,Kab. Lebak,Prov. Banten,SMA,Benar,SMA LA TANSA,20607856,"{""type"":""Point"",""coordinates"":[106.19930179648624,-6.387800491193877]}"
000000000000000002c3,Kab. Lebak,Prov. Banten,SMA,Benar,SMAN 2 BANJARSARI,20613919,"{""type"":""Point"",""coordinates"":[106.01510079106943,-6.473798714110635]}"
000000000000000002c4,Kab. Lebak,Prov. Banten,SMA,Benar,SMA IBNU SINA,69990570,"{""type"":""Point"",""coordinates"":[106.32471401361441,-6.55617168787094]}"
000000000000000002c5,Kab. Lebak,Prov. Banten,SMA,Benar,SMAN 1 MAJA,20601876,"{""type"":""Point"",""coordinates"":[106.39193496199509,-6.338210828378505]}"
000000000000000002c6,Kab. Lebak,Prov. Banten,SMA,Benar,SMAS DAAR EL KUTUB BAYAH,20602238,"{""type"":""Point"",""coordinates"":[106.23290112292395,-6.925501191723649]}"
000000000000000002c7,Kab. Lebak,Prov. Banten,SMA,Benar,SMA NEGERI 4 RANGKASBITUNG,70011680,"{""type"":""Point"",""coordinates"":[106.31469887264835,-6.346901616331672]}"
000000000000000002c8,Kab. Lebak,Prov. Banten,SMA,Benar,SMAN 3 RANGKAS BITUNG,20601871,"{""type"":""Point"",""coordinates"":[106.2477231748256,-6.35819651930005]}"
000000000000000002c9,Kab. Lebak,Prov. Banten,SMA,Benar,SMAN 1 BAYAH,20601881,"{""type"":""Point"",""coordinates"":[106.23539821951387,-6.927498868995591]}"
000000000000000002ca,Kab. Lebak,Prov. Banten,SMA,Benar,SMAN 2 MAJA,20623417,"{""type"":""Point"",""coordinates"":[106.34700060067954,-6.368002082516578]}"
000000000000000002cb,Kab. Lebak,Prov. Banten,SMA,Benar,SMAS AL AZKIYA,20616487,"{""type"":""Point"",""coordinates"":[106.29200204828632,-6.547298076774583]}"
000000000000000002cc,Kab. Lebak,Prov. Banten,SMA,Benar,SMAN 1 PANGGARANGAN,20607877,"{""type"":""Point"",""coordinates"":[106.20500052763255,-6.911602173740058]}"
000000000000000002cd,Kab. Lebak,Prov. Banten,SMA,Benar,SMAN 1 CIJAKU,20614930,"{""type"":""Point"",""coordinates"":[106.07770211075878,-6.711401913743498]}"
000000000000000002ce,Kab. Lebak,Prov. Banten,SMA,Benar,SMAS AL FARHAN CIPANAS,20607855,"{""type"":""Point"",""coordinates"":[106.38620055804037,-6.538700929943539]}"
000000000000000002cf,Kab. Lebak,Prov. Banten,SMA,Benar,SMA ISLAM FATHI QALBI - BINUANGEUN,69983711,"{""type"":""Point"",""coordinates"":[105.88997395640871,-6.82533194565904]}"
000000000000000002d0,Kab. Lebak,Prov. Banten,SMA,Benar,SMA NEGERI 4 PANGGARANGAN,70011607,"{""type"":""Point"",""coordinates"":[106.21080181810308,-6.864001269994523]}"
000000000000000002d1,Kab. Lebak,Prov. Banten,SMA,Benar,SMAS NURUL HASANAH RANGKASBITUNG,20613917,"{""type"":""Point"",""coordinates"":[106.2966127587756,-6.365603086149825]}"
000000000000000002d2,Kab. Lebak,Prov. Banten,SMA,Benar,SMAN 1 MALINGPING,20601875,"{""type"":""Point"",""coordinates"":[106.01755329664884,-6.808035092672724]}"
000000000000000002d3,Kab. Lebak,Prov. Banten,SMA,Benar,SMAN 1 KALANGANYAR,69816901,"{""type"":""Point"",""coordinates"":[106.2259984344932,-6.383501917778355]}"
000000000000000002d4,Kab. Lebak,Prov. Banten,SMA,Benar,SMA NEGERI 3 PANGGARANGAN,70011604,"{""type"":""Point"",""coordinates"":[106.22660041313543,-6.781102122309911]}"
000000000000000002d5,Kab. Lebak,Prov. Banten,SMA,Benar,SMAS QOTHROTUL FALAH CIKULUR,20613630,"{""type"":""Point"",""coordinates"":[106.17350143779099,-6.423798813998346]}"
000000000000000002d6,Kab. Lebak,Prov. Banten,SMA,Benar,SMAN 1 MUNCANG,20607862,"{""type"":""Point"",""coordinates"":[106.3068018046827,-6.537300772212756]}"
000000000000000002d7,Kab. Lebak,Prov. Banten,SMA,Benar,SMAN 1 CIPANAS,20601879,"{""type"":""Point"",""coordinates"":[106.3749992961941,-6.5288998258280655]}"
000000000000000002d8,Kab. Lebak,Prov. Banten,SMA,Benar,SMAN 1 BOJONGMANIK,20607981,"{""type"":""Point"",""coordinates"":[106.17120054164741,-6.5917018050647975]}"
000000000000000002d9,Kab. Lebak,Prov. Banten,SMA,Benar,SMAN 1 CIKULUR,20607982,"{""type"":""Point"",""coordinates"":[106.1360984981547,-6.422300556044388]}"
000000000000000002da,Kab. Lebak,Prov. Banten,SMA,Benar,SMAS AL BAYAN RANGKASBITUNG,20601865,"{""type"":""Point"",""coordinates"":[106.3019190890292,-6.334719352253659]}"
000000000000000002db,Kab. Lebak,Prov. Banten,SMA,Benar,SMAN 2 LEUWIDAMAR,60725227,"{""type"":""Point"",""coordinates"":[106.24659948136014,-6.557397940660638]}"
000000000000000002dc,Kab. Lebak,Prov. Banten,SMA,Benar,SMAN 1 SAJIRA,20613868,"{""type"":""Point"",""coordinates"":[106.33609809860386,-6.438500470171556]}"
000000000000000002dd,Kab. Lebak,Prov. Banten,SMA,Benar,SMAN 3 CIBEBER,69946232,"{""type"":""Point"",""coordinates"":[106.39370076601226,-6.820199520346526]}"
000000000000000002de,Kab. Lebak,Prov. Banten,SMA,Benar,SMAN 1 RANGKASBITUNG,20601874,"{""type"":""Point"",""coordinates"":[106.24910103705112,-6.357799659306294]}"
000000000000000002df,Kab. Lebak,Prov. Banten,SMA,Benar,SMAS AL - IZZAH CIPANAS,20615885,"{""type"":""Point"",""coordinates"":[106.34899827795147,-6.561598413852984]}"
000000000000000002e0,Kab. Lebak,Prov. Banten,SMA,Benar,SMAN 2 Panggarangan,69985722,"{""type"":""Point"",""coordinates"":[106.21629988970197,-6.786198874814]}"
000000000000000002e1,Kab. Lebak,Prov. Banten,SMA,Benar,SMAS NURUL MADAANY CIPANAS,20607820,"{""type"":""Point"",""coordinates"":[106.38950029281992,-6.538799030166715]}"
000000000000000002e2,Kab. Lebak,Prov. Banten,SMA,Benar,SMA NEGERI 1 CIRINTEN,70011608,"{""type"":""Point"",""coordinates"":[106.18200048439886,-6.642201124495071]}"
000000000000000002e3,Kab. Lebak,Prov. Banten,SMA,Benar,SMAS ISLAM PEMBANGUNAN SAJIRA,20613885,"{""type"":""Point"",""coordinates"":[106.32289915948566,-6.395300699165773]}"
000000000000000002e4,Kab. Lebak,Prov. Banten,SMA,Benar,SMAS TERPADU AL-QUDWAH,20616362,"{""type"":""Point"",""coordinates"":[106.23525552828016,-6.355788604731189]}"
000000000000000002e5,Kab. Lebak,Prov. Banten,SMA,Benar,SMA IT ADDAWAH,20623100,"{""type"":""Point"",""coordinates"":[106.26404794378226,-6.36078279791105]}"
000000000000000002e6,Kab. Lebak,Prov. Banten,SMA,Benar,SMAN 1 BANJARSARI,20601867,"{""type"":""Point"",""coordinates"":[106.00310135013463,-6.554998944293885]}"
000000000000000002e7,Kab. Pandeglang,Prov. Banten,SMA,Benar,SMAN 2 PANDEGLANG,20600468,"{""type"":""Point"",""coordinates"":[106.10046136253555,-6.319986482373072]}"
000000000000000002e8,Kab. Pandeglang,Prov. Banten,SMA,Benar,SMAS TERPADU MATHLAUL ANWAR BOJONG,20611160,"{""type"":""Point"",""coordinates"":[105.99989971557824,-6.4659997463681576]}"
000000000000000002e9,Kab. Pandeglang,Prov. Banten,SMA,Benar,SMAN 12 PANDEGLANG,20600471,"{""type"":""Point"",""coordinates"":[105.96749988732391,-6.514898248520245]}"
000000000000000002ea,Kab. Pandeglang,Prov. Banten,SMA,Benar,SMA PEDULI BANGSA,69938869,"{""type"":""Point"",""coordinates"":[105.95810010230323,-6.498800893717305]}"
000000000000000002eb,Kab. Pandeglang,Prov. Banten,SMA,Benar,SMAN 17 PANDEGLANG,20600434,"{""type"":""Point"",""coordinates"":[105.69549918216475,-6.604900744182997]}"
000000000000000002ec,Kab. Pandeglang,Prov. Banten,SMA,Benar,SMAS YANMU PANDEGLANG,20607665,"{""type"":""Point"",""coordinates"":[106.13119794609696,-6.304901343509266]}"
000000000000000002ed,Kab. Pandeglang,Prov. Banten,SMA,Benar,SMA ALAM BAHRIATUL ULUM,70025273,"{""type"":""Point"",""coordinates"":[106.09006719797998,-6.328797666054682]}"
